"Num_Acc";"circ";"nbv";"vma";"surf_gr";"prof_gr";"plan_gr";"infrastructure"
"202100000347";"1";1;50;"normale";"plat";"rectiligne";"non"
"202100000348";"3";0;50;"normale";"plat";"rectiligne";"non"
"202100000349";"3";6;50;"normale";"pente/cote";"rectiligne";NA
"202100000350";"3";6;70;"normale";"plat";"rectiligne";"non"
"202100000351";"2";3;50;"normale";"pente/cote";"rectiligne";"non"
"202100000352";"2";2;80;"normale";"plat";"courbe";"non"
"202100000353";"3";4;50;"normale";"plat";"rectiligne";"non"
"202100000354";"3";2;50;"normale";"pente/cote";"rectiligne";"oui"
"202100000355";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000356";"1";1;50;"normale";"plat";"courbe";"non"
"202100000357";"2";2;70;"normale";"plat";"courbe";"non"
"202100000358";"2";0;50;"normale";"plat";"rectiligne";"non"
"202100000359";"2";2;50;"normale";"plat";"courbe";"non"
"202100000360";"3";1;30;"normale";"plat";"courbe";"oui"
"202100000361";NA;0;50;"normale";"plat";"rectiligne";"oui"
"202100000362";"1";2;90;"normale";"plat";"rectiligne";"non"
"202100000363";"2";1;30;"normale";"plat";"courbe";"non"
"202100000364";"1";2;90;"normale";"pente/cote";"rectiligne";"non"
"202100000365";"2";2;50;"normale";"plat";"rectiligne";"oui"
"202100000366";"2";3;50;"normale";"plat";"rectiligne";"non"
"202100000367";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000368";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000369";"2";2;50;"risquée";"pente/cote";"rectiligne";"non"
"202100000370";"2";2;30;"normale";"plat";"rectiligne";"non"
"202100000371";"1";2;50;"normale";"plat";"courbe";NA
"202100000372";"2";2;50;"normale";"pente/cote";"courbe";"non"
"202100000373";"2";NA;NA;"normale";"plat";"rectiligne";"non"
"202100000374";"2";NA;50;NA;"plat";NA;"oui"
"202100000375";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000376";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000377";"2";2;80;"normale";"plat";"courbe";"non"
"202100000378";"3";2;30;"normale";"plat";"rectiligne";"non"
"202100000379";"3";4;50;"normale";"pente/cote";"rectiligne";"non"
"202100000380";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000381";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000382";"3";4;110;"normale";"plat";"rectiligne";"non"
"202100000383";"2";2;50;"normale";"pente/cote";"courbe";"non"
"202100000384";"1";2;30;"normale";"plat";"courbe";"oui"
"202100000385";"2";2;30;"normale";"plat";"rectiligne";"oui"
"202100000386";"2";2;70;"normale";"plat";"courbe";"non"
"202100000387";"2";2;30;"normale";"plat";"courbe";"non"
"202100000388";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000389";"2";2;80;"normale";"plat";"rectiligne";"non"
"202100000390";"2";4;50;"normale";"plat";"rectiligne";"non"
"202100000391";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000392";"1";2;50;"normale";"plat";"rectiligne";"non"
"202100000393";"2";3;50;"normale";"plat";"rectiligne";"non"
"202100000394";"3";4;90;"normale";"plat";"rectiligne";"non"
"202100000395";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000396";"2";2;50;"normale";"pente/cote";"rectiligne";"non"
"202100000397";"2";2;50;"normale";"plat";"rectiligne";"oui"
"202100000398";"2";2;50;"risquée";"plat";"rectiligne";"non"
"202100000399";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000400";"2";2;50;"normale";"pente/cote";"courbe";"non"
"202100000401";"1";3;110;"normale";"pente/cote";"rectiligne";"oui"
"202100000402";"2";3;80;"normale";"pente/cote";"rectiligne";"non"
"202100000403";"1";0;50;"normale";"plat";"rectiligne";"non"
"202100000404";"2";2;50;"normale";"pente/cote";"courbe";"non"
"202100000405";"1";1;15;"normale";"pente/cote";"rectiligne";"non"
"202100000406";"2";1;50;"normale";"pente/cote";"courbe";"oui"
"202100000407";"1";2;50;"risquée";"pente/cote";"rectiligne";"oui"
